IPI	Description	Protein Length	TMHMM Topology	List of Transmembrane Loops and Sequon Data	Avg-loop.i	Avg-loop.o
IPI00311654	SWISS-PROT Q8R429	994	i60-78o88-107i260-279o299-321i760-782o837-859i928-950o	i(1-60=59)/1 o(78-88=10)/0 i(107-260=153)/0 o(279-299=20)/0 i(321-760=439)/0 o(782-837=55)/0 i(859-928=69)/0 o(950-994=44)/0 	180	32.25
IPI00221478	SWISS-PROT Q8BG54	563	i60-79o	i(1-60=59)/1 o(79-563=484)/0 	59	484
IPI00468900	SWISS-PROT O55143-2	998	i60-79o84-106i260-279o299-321i759-781o836-858i930-949o	i(1-60=59)/1 o(79-84=5)/0 i(106-260=154)/0 o(279-299=20)/0 i(321-759=438)/0 o(781-836=55)/0 i(858-930=72)/0 o(949-998=49)/0 	180.75	32.25
IPI00338964	SWISS-PROT O55143-1	1044	i60-79o84-106i260-279o299-321i759-781o836-858i930-952o1015-1032i	i(1-60=59)/1 o(79-84=5)/0 i(106-260=154)/0 o(279-299=20)/0 i(321-759=438)/0 o(781-836=55)/0 i(858-930=72)/0 o(952-1015=63)/0 i(1032-1044=12)/0 	147	35.75
IPI01019151	TREMBL E9Q1M9	332	i60-79o89-111i123-145o216-238i258-280o285-307i	i(1-60=59)/1 o(79-89=10)/0 i(111-123=12)/0 o(145-216=71)/0 i(238-258=20)/0 o(280-285=5)/0 i(307-332=25)/0 	29	28.6667
IPI00125697	SWISS-PROT Q9JMI0	775	i60-82o	i(1-60=59)/1 o(82-775=693)/0 	59	693
IPI00224833	TREMBL Q8C2V4	101	i60-82o	i(1-60=59)/1 o(82-101=19)/0 	59	19
IPI00308211	SWISS-PROT P24721	301	i60-82o	i(1-60=59)/1 o(82-301=219)/0 	59	219
IPI00322026	SWISS-PROT Q8K299-1	491	i60-82o	i(1-60=59)/1 o(82-491=409)/0 	59	409
IPI00471120	SWISS-PROT Q91VK4	269	i60-82o	i(1-60=59)/1 o(82-269=187)/0 	59	187
IPI00649089	TREMBL B1AR35	226	i60-82o	i(1-60=59)/1 o(82-226=144)/0 	59	144
IPI00831064	SWISS-PROT Q8K299-2	387	i60-82o	i(1-60=59)/1 o(82-387=305)/0 	59	305
IPI01027405	ENSEMBL ENSMUSP00000134397	96	i60-82o	i(1-60=59)/1 o(82-96=14)/0 	59	14
IPI00122625	SWISS-PROT Q8VCW4-1	598	i60-82o111-133i140-157o161-183i217-239o285-307i343-365o375-397i402-424o439-461i473-492o497-514i	i(1-60=59)/1 o(82-111=29)/0 i(133-140=7)/0 o(157-161=4)/0 i(183-217=34)/0 o(239-285=46)/0 i(307-343=36)/0 o(365-375=10)/0 i(397-402=5)/0 o(424-439=15)/0 i(461-473=12)/0 o(492-497=5)/0 i(514-598=84)/0 	33.8571	18.1667
IPI00129586	SWISS-PROT Q9Z0X4	1141	i60-82o126-148i155-177o187-209i230-252o	i(1-60=59)/1 o(82-126=44)/0 i(148-155=7)/0 o(177-187=10)/0 i(209-230=21)/0 o(252-1141=889)/0 	29	314.333
IPI00761892	TREMBL A2AJQ2	496	i60-82o127-149i162-184o232-254i261-283o293-315i	i(1-60=59)/1 o(82-127=45)/0 i(149-162=13)/0 o(184-232=48)/0 i(254-261=7)/0 o(283-293=10)/0 i(315-496=181)/0 	65	34.3333
IPI00985567	TREMBL E9Q7T6	168	i60-82o92-114i	i(1-60=59)/1 o(82-92=10)/0 i(114-168=54)/0 	56.5	10
IPI00117949	TREMBL Q9DA47	151	i60-82o92-114i116-138o	i(1-60=59)/1 o(82-92=10)/0 i(114-116=2)/0 o(138-151=13)/0 	30.5	11.5
IPI00457581	TREMBL Q8BIU2	117	i60-82o97-116i	i(1-60=59)/1 o(82-97=15)/0 i(116-117=1)/0 	30	15
IPI00461531	TREMBL Q8CEP9	169	i60-82o97-119i	i(1-60=59)/1 o(82-97=15)/0 i(119-169=50)/0 	54.5	15
IPI00895218	TREMBL D6REG2	165	i60-82o97-119i126-145o	i(1-60=59)/1 o(82-97=15)/0 i(119-126=7)/0 o(145-165=20)/0 	33	17.5
IPI00894875	TREMBL D3YTR6	476	i60-82o97-119i126-145o158-180i187-206o216-238i270-292o302-324i329-351o410-432i	i(1-60=59)/1 o(82-97=15)/0 i(119-126=7)/0 o(145-158=13)/0 i(180-187=7)/0 o(206-216=10)/0 i(238-270=32)/0 o(292-302=10)/0 i(324-329=5)/0 o(351-410=59)/0 i(432-476=44)/0 	25.6667	21.4
IPI00895273	TREMBL D3YWA9	453	i60-82o97-119i126-145o158-180i187-206o216-238i272-294o322-344i357-379o389-411i	i(1-60=59)/1 o(82-97=15)/0 i(119-126=7)/0 o(145-158=13)/0 i(180-187=7)/0 o(206-216=10)/0 i(238-272=34)/0 o(294-322=28)/0 i(344-357=13)/0 o(379-389=10)/0 i(411-453=42)/0 	27	15.2
IPI00111254	SWISS-PROT Q8R0G7	528	i60-82o97-119i126-145o158-180i187-206o216-238i272-294o322-344i357-379o389-411i423-442o462-484i	i(1-60=59)/1 o(82-97=15)/0 i(119-126=7)/0 o(145-158=13)/0 i(180-187=7)/0 o(206-216=10)/0 i(238-272=34)/0 o(294-322=28)/0 i(344-357=13)/0 o(379-389=10)/0 i(411-423=12)/0 o(442-462=20)/0 i(484-528=44)/0 	25.1429	16
IPI00876384	TREMBL F8VQI5	166	i60-82o97-119i132-151o	i(1-60=59)/1 o(82-97=15)/0 i(119-132=13)/0 o(151-166=15)/0 	36	15
IPI00123265	TREMBL Q8VDG4	85	i61-78o	i(1-61=60)/1 o(78-85=7)/0 	60	7
IPI00776047	TREMBL B1AU25 Q2QKE3	608	i61-80o	i(1-61=60)/1 o(80-608=528)/0 	60	528
IPI00312558	TREMBL Q4VQI2 Q6P6P9	426	i61-80o144-163i170-192o223-245i252-274o289-311i	i(1-61=60)/1 o(80-144=64)/0 i(163-170=7)/0 o(192-223=31)/0 i(245-252=7)/0 o(274-289=15)/0 i(311-426=115)/0 	47.25	36.6667
IPI01016166	TREMBL A2ALM7 B2LHN0 E9Q151	630	i61-80o90-112i133-155o229-251i260-282o305-327i340-362o382-404i435-457o477-495i516-538o553-575i	i(1-61=60)/1 o(80-90=10)/0 i(112-133=21)/0 o(155-229=74)/0 i(251-260=9)/0 o(282-305=23)/0 i(327-340=13)/0 o(362-382=20)/0 i(404-435=31)/0 o(457-477=20)/0 i(495-516=21)/0 o(538-553=15)/0 i(575-630=55)/0 	30	27
IPI00480478	SWISS-PROT Q8VBW1-3	632	i61-80o90-112i133-155o229-251i260-282o309-331i344-366o393-415i445-467o480-497i518-540o555-577i	i(1-61=60)/1 o(80-90=10)/0 i(112-133=21)/0 o(155-229=74)/0 i(251-260=9)/0 o(282-309=27)/0 i(331-344=13)/0 o(366-393=27)/0 i(415-445=30)/0 o(467-480=13)/0 i(497-518=21)/0 o(540-555=15)/0 i(577-632=55)/0 	29.8571	27.6667
IPI00480326	SWISS-PROT Q8VBW1-2	635	i61-80o90-112i133-155o229-251i260-282o309-331i344-366o393-415i445-467o482-500i521-543o558-580i	i(1-61=60)/1 o(80-90=10)/0 i(112-133=21)/0 o(155-229=74)/0 i(251-260=9)/0 o(282-309=27)/0 i(331-344=13)/0 o(366-393=27)/0 i(415-445=30)/0 o(467-482=15)/0 i(500-521=21)/0 o(543-558=15)/0 i(580-635=55)/0 	29.8571	28
IPI00121477	SWISS-PROT Q8VBW1-1	640	i61-80o90-112i133-155o229-251i260-282o309-331i344-366o393-415i445-467o487-505i526-548o563-585i	i(1-61=60)/1 o(80-90=10)/0 i(112-133=21)/0 o(155-229=74)/0 i(251-260=9)/0 o(282-309=27)/0 i(331-344=13)/0 o(366-393=27)/0 i(415-445=30)/0 o(467-487=20)/0 i(505-526=21)/0 o(548-563=15)/0 i(585-640=55)/0 	29.8571	28.8333
IPI00396670	SWISS-PROT Q8BGK5	408	i61-80o95-117i129-146o156-178i185-207o217-236i249-267o282-304i311-333o338-360i	i(1-61=60)/1 o(80-95=15)/0 i(117-129=12)/0 o(146-156=10)/0 i(178-185=7)/0 o(207-217=10)/0 i(236-249=13)/0 o(267-282=15)/0 i(304-311=7)/0 o(333-338=5)/0 i(360-408=48)/0 	24.5	11
IPI00138054	TREMBL Q9D4Y9	112	i61-83o	i(1-61=60)/1 o(83-112=29)/0 	60	29
IPI00221483	SWISS-PROT Q8BG58-2	224	i61-83o	i(1-61=60)/1 o(83-224=141)/0 	60	141
IPI00317811	TREMBL Q8BRP2 Q8CCT1	110	i61-83o	i(1-61=60)/1 o(83-110=27)/0 	60	27
IPI00556853	SWISS-PROT Q9D1D4-2	94	i61-83o	i(1-61=60)/1 o(83-94=11)/0 	60	11
IPI00620061	SWISS-PROT Q8BG58-1	503	i61-83o	i(1-61=60)/1 o(83-503=420)/0 	60	420
IPI00653244	TREMBL Q3U113	143	i61-83o	i(1-61=60)/1 o(83-143=60)/0 	60	60
IPI00867751	TREMBL B2RQR8 Q80Z58 Q8C099	763	i61-83o	i(1-61=60)/1 o(83-763=680)/0 	60	680
IPI00882200	TREMBL E9Q1S5	709	i61-83o	i(1-61=60)/1 o(83-709=626)/0 	60	626
IPI00342407	SWISS-PROT Q4QQM4	189	i61-83o103-122i127-149o159-181i	i(1-61=60)/1 o(83-103=20)/0 i(122-127=5)/0 o(149-159=10)/0 i(181-189=8)/0 	24.3333	15
IPI00556910	SWISS-PROT Q6AXF6-2	445	i61-83o112-134i154-176o191-208i217-239o244-266i303-322o327-349i358-380o411-430i	i(1-61=60)/1 o(83-112=29)/0 i(134-154=20)/0 o(176-191=15)/0 i(208-217=9)/0 o(239-244=5)/0 i(266-303=37)/0 o(322-327=5)/0 i(349-358=9)/0 o(380-411=31)/0 i(430-445=15)/0 	25	17
IPI00135672	SWISS-PROT Q9QY80	281	i61-83o114-136i199-221o241-263i	i(1-61=60)/1 o(83-114=31)/0 i(136-199=63)/0 o(221-241=20)/0 i(263-281=18)/0 	47	25.5
IPI00753136	ENSEMBL ENSMUSP00000028469	607	i61-83o119-141i148-167o177-199i206-228o238-260i346-368o397-419i465-487o497-519i532-554o559-581i	i(1-61=60)/1 o(83-119=36)/0 i(141-148=7)/0 o(167-177=10)/0 i(199-206=7)/0 o(228-238=10)/0 i(260-346=86)/0 o(368-397=29)/0 i(419-465=46)/0 o(487-497=10)/0 i(519-532=13)/0 o(554-559=5)/0 i(581-607=26)/0 	35	16.6667
IPI00622875	SWISS-PROT Q9QY30	1321	i61-83o143-165i219-236o241-263i321-343o358-380i752-774o794-811i886-908o	i(1-61=60)/1 o(83-143=60)/0 i(165-219=54)/0 o(236-241=5)/0 i(263-321=58)/0 o(343-358=15)/0 i(380-752=372)/0 o(774-794=20)/0 i(811-886=75)/0 o(908-1321=413)/0 	123.8	102.6
IPI00116805	SWISS-PROT Q0P5V9-1	785	i61-83o88-110i123-145o155-174i195-217o232-254i525-547o577-596i609-631o635-657i677-699o709-731i	i(1-61=60)/1 o(83-88=5)/0 i(110-123=13)/0 o(145-155=10)/0 i(174-195=21)/0 o(217-232=15)/0 i(254-525=271)/0 o(547-577=30)/0 i(596-609=13)/0 o(631-635=4)/0 i(657-677=20)/0 o(699-709=10)/0 i(731-785=54)/0 	64.5714	12.3333
IPI00895022	SWISS-PROT Q0P5V9-2	793	i61-83o88-110i123-145o240-262i533-555o585-604i617-639o643-665i685-707o717-739i	i(1-61=60)/1 o(83-88=5)/0 i(110-123=13)/0 o(145-240=95)/0 i(262-533=271)/0 o(555-585=30)/0 i(604-617=13)/0 o(639-643=4)/0 i(665-685=20)/0 o(707-717=10)/0 i(739-793=54)/0 	71.8333	28.8
IPI00856556	TREMBL D3Z3B2	116	i61-83o93-115i	i(1-61=60)/1 o(83-93=10)/0 i(115-116=1)/0 	30.5	10
IPI01027375	ENSEMBL ENSMUSP00000133278	116	i61-83o93-115i	i(1-61=60)/1 o(83-93=10)/0 i(115-116=1)/0 	30.5	10
IPI00848744	TREMBL F8WIJ3	133	i61-83o98-120i	i(1-61=60)/1 o(83-98=15)/0 i(120-133=13)/0 	36.5	15
IPI00944733	ENSEMBL ENSMUSP00000128118	181	i61-83o98-120i	i(1-61=60)/1 o(83-98=15)/0 i(120-181=61)/0 	60.5	15
IPI00462176	TREMBL Q99K89	173	i61-83o98-120i133-152o	i(1-61=60)/1 o(83-98=15)/0 i(120-133=13)/0 o(152-173=21)/0 	36.5	18
IPI00133002	SWISS-PROT Q9CR20	82	i62-81o	i(1-62=61)/1 o(81-82=1)/0 	61	1
IPI00403708	SWISS-PROT Q8BQQ1-1	489	i62-81o91-110i211-233o253-275i	i(1-62=61)/1 o(81-91=10)/0 i(110-211=101)/0 o(233-253=20)/0 i(275-489=214)/0 	125.333	15
IPI00460133	TREMBL Q6P8S1	212	i62-84o	i(1-62=61)/1 o(84-212=128)/0 	61	128
IPI00624896	SWISS-PROT Q8BSY0	741	i62-84o	i(1-62=61)/1 o(84-741=657)/0 	61	657
IPI00647977	TREMBL A2AL85	725	i62-84o	i(1-62=61)/1 o(84-725=641)/0 	61	641
IPI00648861	TREMBL A2AL78 Q8CH79	245	i62-84o	i(1-62=61)/1 o(84-245=161)/0 	61	161
IPI00649215	TREMBL A2AL79	197	i62-84o	i(1-62=61)/1 o(84-197=113)/0 	61	113
IPI00649469	TREMBL A2AL83	163	i62-84o	i(1-62=61)/1 o(84-163=79)/0 	61	79
IPI00649615	TREMBL Q3TU40 Q91WG6	294	i62-84o	i(1-62=61)/1 o(84-294=210)/0 	61	210
IPI00649881	TREMBL A2AL81 Q9EQ65	310	i62-84o	i(1-62=61)/1 o(84-310=226)/0 	61	226
IPI00652125	TREMBL Q3U2L8	85	i62-84o	i(1-62=61)/1 o(84-85=1)/0 	61	1
IPI00880521	TREMBL A8Y5P1	130	i62-84o	i(1-62=61)/1 o(84-130=46)/0 	61	46
IPI00750932	TREMBL Q80U07	391	i62-84o112-134i	i(1-62=61)/1 o(84-112=28)/0 i(134-391=257)/0 	159	28
IPI00405747	SWISS-PROT Q8C817	491	i62-84o128-147i	i(1-62=61)/1 o(84-128=44)/0 i(147-491=344)/0 	202.5	44
IPI00321921	SWISS-PROT Q8K211	196	i62-84o137-159i164-183o	i(1-62=61)/1 o(84-137=53)/0 i(159-164=5)/0 o(183-196=13)/0 	33	33
IPI00867890	TREMBL E9PY68	824	i62-84o535-557i570-589o602-624i645-664o691-713i725-747o757-779i	i(1-62=61)/1 o(84-535=451)/0 i(557-570=13)/0 o(589-602=13)/0 i(624-645=21)/0 o(664-691=27)/0 i(713-725=12)/0 o(747-757=10)/0 i(779-824=45)/0 	30.4	125.25
IPI00987399	TREMBL E9Q4B6	824	i62-84o535-557i570-589o602-624i645-664o691-713i725-747o757-779i	i(1-62=61)/1 o(84-535=451)/0 i(557-570=13)/0 o(589-602=13)/0 i(624-645=21)/0 o(664-691=27)/0 i(713-725=12)/0 o(747-757=10)/0 i(779-824=45)/0 	30.4	125.25
IPI00867790	TREMBL E9Q277	824	i62-84o535-557i570-589o604-626i645-664o691-713i725-747o757-779i	i(1-62=61)/1 o(84-535=451)/0 i(557-570=13)/0 o(589-604=15)/0 i(626-645=19)/0 o(664-691=27)/0 i(713-725=12)/0 o(747-757=10)/0 i(779-824=45)/0 	30	125.75
IPI00867833	TREMBL E9PUV5	824	i62-84o535-557i570-589o604-626i645-664o691-713i725-747o757-779i	i(1-62=61)/1 o(84-535=451)/0 i(557-570=13)/0 o(589-604=15)/0 i(626-645=19)/0 o(664-691=27)/0 i(713-725=12)/0 o(747-757=10)/0 i(779-824=45)/0 	30	125.75
IPI00226025	SWISS-PROT Q3U1J0-1	479	i62-84o88-110i135-156o176-195i202-224o299-321i342-364o379-401i408-430o445-467i	i(1-62=61)/1 o(84-88=4)/0 i(110-135=25)/0 o(156-176=20)/0 i(195-202=7)/0 o(224-299=75)/0 i(321-342=21)/0 o(364-379=15)/0 i(401-408=7)/0 o(430-445=15)/0 i(467-479=12)/0 	22.1667	25.8
IPI00331154	SWISS-PROT Q9DCS1	244	i62-84o94-112i121-143o202-224i	i(1-62=61)/1 o(84-94=10)/0 i(112-121=9)/0 o(143-202=59)/0 i(224-244=20)/0 	30	34.5
IPI00649757	ENSEMBL ENSMUSP00000122588	146	i62-84o99-121i	i(1-62=61)/1 o(84-99=15)/0 i(121-146=25)/0 	43	15
IPI00128205	SWISS-PROT Q9R0Y1	495	i63-82o458-480i	i(1-63=62)/1 o(82-458=376)/0 i(480-495=15)/0 	38.5	376
IPI00153302	SWISS-PROT Q8BGW2-3	369	i63-85o	i(1-63=62)/1 o(85-369=284)/0 	62	284
IPI00653194	TREMBL Q3U456	88	i63-85o	i(1-63=62)/1 o(85-88=3)/0 	62	3
IPI00654256	TREMBL Q3TRD6	88	i63-85o	i(1-63=62)/1 o(85-88=3)/0 	62	3
IPI00654334	TREMBL Q3UTJ9	93	i63-85o	i(1-63=62)/1 o(85-93=8)/0 	62	8
IPI00874824	SWISS-PROT Q8BIK6	829	i63-85o	i(1-63=62)/1 o(85-829=744)/0 	62	744
IPI00918624	TREMBL D3YUP4	132	i63-85o	i(1-63=62)/1 o(85-132=47)/0 	62	47
IPI00407076	TREMBL E9PY53 Q8CC99	212	i63-85o100-119i	i(1-63=62)/1 o(85-100=15)/0 i(119-212=93)/0 	77.5	15
IPI00350858	SWISS-PROT Q5HZK2	202	i63-85o116-138i	i(1-63=62)/1 o(85-116=31)/0 i(138-202=64)/0 	63	31
IPI00830222	TREMBL E9QP87 Q80U92 Q8BLR0	388	i63-85o125-147i154-176o209-231i240-262o272-294i314-336o	i(1-63=62)/1 o(85-125=40)/0 i(147-154=7)/0 o(176-209=33)/0 i(231-240=9)/0 o(262-272=10)/0 i(294-314=20)/0 o(336-388=52)/0 	24.5	33.75
IPI00229660	SWISS-PROT Q8CHJ2	290	i63-85o159-178i185-207o227-249i	i(1-63=62)/1 o(85-159=74)/0 i(178-185=7)/0 o(207-227=20)/0 i(249-290=41)/0 	36.6667	47
IPI00224403	SWISS-PROT Q80VM9-1	600	i63-85o90-109i130-152o167-186i199-216o265-287i308-330o345-367i530-552o567-589i	i(1-63=62)/1 o(85-90=5)/0 i(109-130=21)/0 o(152-167=15)/0 i(186-199=13)/0 o(216-265=49)/0 i(287-308=21)/0 o(330-345=15)/0 i(367-530=163)/0 o(552-567=15)/0 i(589-600=11)/0 	48.5	19.8
IPI00229350	SWISS-PROT Q3TXX3-1	415	i63-85o90-109i190-212o	i(1-63=62)/1 o(85-90=5)/0 i(109-190=81)/0 o(212-415=203)/0 	71.5	104
IPI00761301	SWISS-PROT Q3TXX3-2	408	i63-85o90-109i190-212o	i(1-63=62)/1 o(85-90=5)/0 i(109-190=81)/0 o(212-408=196)/0 	71.5	100.5
IPI00830612	TREMBL Q3KNZ4	160	i63-85o95-117i	i(1-63=62)/1 o(85-95=10)/0 i(117-160=43)/0 	52.5	10
IPI00867909	TREMBL A7M7T5	231	i63-85o95-117i124-143o147-169i181-203o	i(1-63=62)/1 o(85-95=10)/0 i(117-124=7)/0 o(143-147=4)/0 i(169-181=12)/0 o(203-231=28)/0 	27	14
IPI00227917	SWISS-PROT Q04646-3	101	i64-81o	i(1-64=63)/1 o(81-101=20)/0 	63	20
IPI01023303	TREMBL F6VW90	101	i64-81o	i(1-64=63)/1 o(81-101=20)/0 	63	20
IPI00757435	TREMBL D3YXJ8	1142	i64-83o103-125i138-160o195-217i257-274o	i(1-64=63)/1 o(83-103=20)/0 i(125-138=13)/0 o(160-195=35)/0 i(217-257=40)/0 o(274-1142=868)/0 	38.6667	307.667
IPI00885548	TREMBL D3Z592	1068	i64-83o103-125i138-160o195-217i257-274o	i(1-64=63)/1 o(83-103=20)/0 i(125-138=13)/0 o(160-195=35)/0 i(217-257=40)/0 o(274-1068=794)/0 	38.6667	283
IPI00885635	TREMBL D3YTU6	1111	i64-83o103-125i138-160o195-217i257-274o	i(1-64=63)/1 o(83-103=20)/0 i(125-138=13)/0 o(160-195=35)/0 i(217-257=40)/0 o(274-1111=837)/0 	38.6667	297.333
IPI00886181	TREMBL D3Z649	1135	i64-83o103-125i138-160o195-217i257-274o	i(1-64=63)/1 o(83-103=20)/0 i(125-138=13)/0 o(160-195=35)/0 i(217-257=40)/0 o(274-1135=861)/0 	38.6667	305.333
IPI00463082	SWISS-PROT Q9D7Y9-3	125	i64-86o	i(1-64=63)/1 o(86-125=39)/0 	63	39
IPI00648004	ENSEMBL ENSMUSP00000101504	136	i64-86o	i(1-64=63)/1 o(86-136=50)/0 	63	50
IPI00652968	TREMBL Q3UMG0	103	i64-86o	i(1-64=63)/1 o(86-103=17)/0 	63	17
IPI00889886	TREMBL B0V2W8 F6UJ67	141	i64-86o	i(1-64=63)/1 o(86-141=55)/0 	63	55
IPI00989258	TREMBL Q3TXQ1	106	i64-86o	i(1-64=63)/1 o(86-106=20)/0 	63	20
IPI00903410	TREMBL B3VNK4	158	i64-86o106-128i	i(1-64=63)/1 o(86-106=20)/0 i(128-158=30)/0 	46.5	20
IPI00225935	SWISS-PROT Q8BVN3	442	i64-86o106-128i135-157o194-216i223-240o260-282i	i(1-64=63)/1 o(86-106=20)/0 i(128-135=7)/0 o(157-194=37)/0 i(216-223=7)/0 o(240-260=20)/0 i(282-442=160)/0 	59.25	25.6667
IPI00903402	TREMBL B3VNK5	369	i64-86o124-143i150-167o187-209i	i(1-64=63)/1 o(86-124=38)/0 i(143-150=7)/0 o(167-187=20)/0 i(209-369=160)/0 	76.6667	29
IPI00109108	SWISS-PROT P46978	753	i64-86o131-153i160-179o189-211i218-235o250-272i284-306o316-334i346-368o409-431i452-474o504-526i	i(1-64=63)/1 o(86-131=45)/0 i(153-160=7)/0 o(179-189=10)/0 i(211-218=7)/0 o(235-250=15)/0 i(272-284=12)/0 o(306-316=10)/0 i(334-346=12)/0 o(368-409=41)/0 i(431-452=21)/0 o(474-504=30)/0 i(526-753=227)/0 	49.8571	25.1667
IPI00129957	SWISS-PROT O88335	372	i64-86o138-160i	i(1-64=63)/1 o(86-138=52)/0 i(160-372=212)/0 	137.5	52
IPI00875748	SWISS-PROT Q3TA38-2	300	i64-86o96-113i120-139o149-171i229-251o266-288i	i(1-64=63)/1 o(86-96=10)/0 i(113-120=7)/0 o(139-149=10)/0 i(171-229=58)/0 o(251-266=15)/0 i(288-300=12)/0 	35	11.6667
IPI00128815	TREMBL B2RQF0	362	i64-86o96-115i128-150o182-204i211-233o243-265i277-299o304-326i	i(1-64=63)/1 o(86-96=10)/0 i(115-128=13)/0 o(150-182=32)/0 i(204-211=7)/0 o(233-243=10)/0 i(265-277=12)/0 o(299-304=5)/0 i(326-362=36)/0 	26.2	14.25
IPI00623842	TREMBL E9PZQ3 Q69Z96	1106	i64-86o96-118i348-367o951-973i999-1021o1036-1053i	i(1-64=63)/1 o(86-96=10)/0 i(118-348=230)/0 o(367-951=584)/0 i(973-999=26)/0 o(1021-1036=15)/0 i(1053-1106=53)/0 	93	203
IPI00109891	SWISS-PROT Q9EPE9	1200	i64-86o96-118i442-461o1045-1067i1093-1115o1130-1147i	i(1-64=63)/1 o(86-96=10)/0 i(118-442=324)/0 o(461-1045=584)/0 i(1067-1093=26)/0 o(1115-1130=15)/0 i(1147-1200=53)/0 	116.5	203
IPI00134479	SWISS-PROT Q64446	1462	i656-675o690-712i733-755o765-782i925-947o969-991i1322-1344o	i(1-656=655)/1 o(675-690=15)/0 i(712-733=21)/0 o(755-765=10)/0 i(782-925=143)/0 o(947-969=22)/0 i(991-1322=331)/0 o(1344-1462=118)/0 	287.5	41.25
IPI00118952	SWISS-PROT Q9DB10	107	i65-84o	i(1-65=64)/1 o(84-107=23)/0 	64	23
IPI00221953	SWISS-PROT Q3TT99	632	i65-84o104-135i148-168o183-205i241-263o543-565i	i(1-65=64)/1 o(84-104=20)/0 i(135-148=13)/0 o(168-183=15)/0 i(205-241=36)/0 o(263-543=280)/0 i(565-632=67)/0 	45	105
IPI00116056	SWISS-PROT O55192	617	i65-84o94-116i136-158o231-253i262-284o308-330i343-365o395-417i444-466o476-498i519-538o553-575i	i(1-65=64)/1 o(84-94=10)/0 i(116-136=20)/0 o(158-231=73)/0 i(253-262=9)/0 o(284-308=24)/0 i(330-343=13)/0 o(365-395=30)/0 i(417-444=27)/0 o(466-476=10)/0 i(498-519=21)/0 o(538-553=15)/0 i(575-617=42)/0 	28	27
IPI00187289	SWISS-PROT Q9D771	350	i65-87o	i(1-65=64)/1 o(87-350=263)/0 	64	263
IPI00987616	TREMBL E9PZI2	349	i65-87o	i(1-65=64)/1 o(87-349=262)/0 	64	262
IPI00116394	SWISS-PROT O70228	1047	i65-87o102-122i300-322o332-351i845-867o872-894i924-946o950-969i976-998o1008-1030i	i(1-65=64)/1 o(87-102=15)/0 i(122-300=178)/0 o(322-332=10)/0 i(351-845=494)/0 o(867-872=5)/0 i(894-924=30)/0 o(946-950=4)/0 i(969-976=7)/0 o(998-1008=10)/0 i(1030-1047=17)/0 	131.667	8.8
IPI00129160	SWISS-PROT P97799	196	i65-87o118-140i	i(1-65=64)/1 o(87-118=31)/0 i(140-196=56)/0 	60	31
IPI01007720	TREMBL E9QK87	302	i65-87o91-113i	i(1-65=64)/1 o(87-91=4)/0 i(113-302=189)/0 	126.5	4
IPI00112126	SWISS-PROT Q5F285	113	i65-87o92-111i	i(1-65=64)/1 o(87-92=5)/0 i(111-113=2)/0 	33	5
IPI00469493	TREMBL B9EIY5 Q6T707	353	i65-87o92-114i211-233o248-267i	i(1-65=64)/1 o(87-92=5)/0 i(114-211=97)/0 o(233-248=15)/0 i(267-353=86)/0 	82.3333	10
IPI00988532	SWISS-PROT Q8BH10	250	i66-83o93-115i148-170o190-212i	i(1-66=65)/1 o(83-93=10)/0 i(115-148=33)/0 o(170-190=20)/0 i(212-250=38)/0 	45.3333	15
IPI00989510	ENSEMBL ENSMUSP00000128503	250	i66-83o93-115i148-170o190-212i	i(1-66=65)/1 o(83-93=10)/0 i(115-148=33)/0 o(170-190=20)/0 i(212-250=38)/0 	45.3333	15
IPI00830284	SWISS-PROT Q1LZI2	421	i66-83o98-120i140-162o177-199i206-223o233-252i265-287o317-339i352-374o	i(1-66=65)/1 o(83-98=15)/0 i(120-140=20)/0 o(162-177=15)/0 i(199-206=7)/0 o(223-233=10)/0 i(252-265=13)/0 o(287-317=30)/0 i(339-352=13)/0 o(374-421=47)/0 	23.6	23.4
IPI00666094	SWISS-PROT P0C7M9	211	i66-85o	i(1-66=65)/1 o(85-211=126)/0 	65	126
IPI00886206	TREMBL F7D0Q0	114	i66-85o89-111i	i(1-66=65)/1 o(85-89=4)/0 i(111-114=3)/0 	34	4
IPI00110152	TREMBL Q9D7C3	123	i66-88o	i(1-66=65)/1 o(88-123=35)/0 	65	35
IPI00111045	SWISS-PROT Q9D880	353	i66-88o	i(1-66=65)/1 o(88-353=265)/0 	65	265
IPI00124700	SWISS-PROT Q62351	763	i66-88o	i(1-66=65)/1 o(88-763=675)/0 	65	675
IPI00349830	SWISS-PROT O88829-1	414	i66-88o	i(1-66=65)/1 o(88-414=326)/0 	65	326
IPI00760070	SWISS-PROT P49817-2	147	i66-88o	i(1-66=65)/1 o(88-147=59)/0 	65	59
IPI00762815	SWISS-PROT Q4PZA2-4	767	i66-88o	i(1-66=65)/1 o(88-767=679)/0 	65	679
IPI00881324	TREMBL A8R0W6	151	i66-88o	i(1-66=65)/1 o(88-151=63)/0 	65	63
IPI00974762	TREMBL Q8C5A0 Q91Z04	347	i66-88o	i(1-66=65)/1 o(88-347=259)/0 	65	259
IPI00648925	ENSEMBL ENSMUSP00000104110	471	i66-88o108-130i143-165o170-192i213-232o290-312i	i(1-66=65)/1 o(88-108=20)/0 i(130-143=13)/0 o(165-170=5)/0 i(192-213=21)/0 o(232-290=58)/0 i(312-471=159)/0 	64.5	27.6667
